DiaChi,TinhTrangBDS,DienTich,Gia/m2,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Gia
"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,48 triệu/m²,2 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,4 tỷ"
"Thái Thịnh , Phường Láng Thượng, Quận Đống Đa, Hà Nội",Chưa bàn giao,,"43,18 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"3,67 tỷ"
"Kim Liên, Phường Kim Liên, Quận Đống Đa, Hà Nội",Chưa bàn giao,,"51,86 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"3,63 tỷ"
"Phố Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",Đã bàn giao,,67 triệu/m²,2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,35 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Ngách 15 Ngõ Gốc Đề, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,245 triệu/m²,nhiều hơn 10 phòng,,7,Nhiều hơn 6 phòng,"Căn hộ dịch vụ, mini",,,,,,,"14,7 tỷ"
"Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"48,36 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,,,Nam,,"2,66 tỷ"
"Đường Đặng Xá 1, Xã Đặng Xá, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"39,66 triệu/m²",2 phòng,,11,2 phòng,,,,,Đông Bắc,,,"2,3 tỷ"
"Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà Nội",Đã bàn giao,,"62,11 triệu/m²",3 phòng,,,,Chung cư,Sổ hồng riêng,,Nội thất đầy đủ,,,,"5,9 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Đường Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"58,14 triệu/m²",2 phòng,,,2 phòng,,,,,Tây Bắc,Đông Nam,,5 tỷ
"Nghiêm Xuân Yêm, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"53,43 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,885 tỷ"
"Phố Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"61,89 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"7,65 tỷ"
"Minh khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"86,98 triệu/m²",2 phòng,,,2 phòng,Chung cư,,,,,Nam,,"7,48 tỷ"
"Lò Đúc, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"51,60 triệu/m²",2 phòng,,3,,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,58 tỷ"
"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"156,36 triệu/m²",9 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,Căn góc,"8,6 tỷ"
"Đường Phú Mỹ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"168,25 triệu/m²",9 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,Căn góc,"10,6 tỷ"
"109 Nguyễn Tuân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"102,33 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"8,8 tỷ"
"431 Tam Trinh , Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"52,15 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,39 tỷ"
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"36,58 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,39 tỷ"
"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"48,44 triệu/m²",3 phòng,,,,Chung cư,Sổ hồng riêng,,Nội thất đầy đủ,,,,"6,2 tỷ"
"Phường Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"62,58 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,1 tỷ"
"Phố Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,60 triệu/m²,3 phòng,,,,Chung cư,Sổ hồng riêng,,Nội thất đầy đủ,,,,"4,8 tỷ"
"Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"47,85 triệu/m²",3 phòng,ct3,15,2 phòng,,,,,,,,"4,45 tỷ"
,,,,,,,,,,,,,,,
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"70,93 triệu/m²",1 phòng,GS2,31,,,,,,Đông Nam,,,"3,05 tỷ"
,,,,,,,,,,,,,,,
"Lò Đúc, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"47,92 triệu/m²",2 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,3 tỷ"
"Phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,,"54,93 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,4 tỷ"
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",Đã bàn giao,,"223,28 triệu/m²",9 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,Căn góc,"12,95 tỷ"
"Phố Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",Đã bàn giao,,"63,35 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,,,Đông Nam,,"4,39 tỷ"
"Phan Trọng Tuệ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Đã bàn giao,,"43,33 triệu/m²",2 phòng,Ct6b,31,,,,,,Đông Nam,,,"2,6 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Chưa bàn giao,,"51,67 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,55 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"65,44 triệu/m²",2 phòng,S301,35,,,,,,Nam,,,"3,599 tỷ"
"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"203,77 triệu/m²",9 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,Căn góc,"10,8 tỷ"
"Phố Nam Sơn, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"57,42 triệu/m²",3 phòng,,,2 phòng,,,,,Tây Bắc,Đông Nam,,"3,79 tỷ"
"Phố Thành Thái, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,65 triệu/m²,2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,85 tỷ"
"Đường Nguyễn Khang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"229,69 triệu/m²",nhiều hơn 10 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,Căn góc,"14,7 tỷ"
"Chung cư Tecco Diamond, Vũ Lăng, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",Đã bàn giao,,"53,52 triệu/m²",2 phòng,A,,2 phòng,,,,,Đông Bắc,,,"3,8 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"60,94 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,9 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,62 triệu/m²,3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,65 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"66,33 triệu/m²",2 phòng,S303,8,,,,,,Đông Bắc,,,"3,648 tỷ"
"Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"56,79 triệu/m²",4 phòng,A,25,,,,,,Bắc,,,"7,95 tỷ"
"Đường Nguyễn Xiển, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"57,45 triệu/m²",3 phòng,,,2 phòng,,,,,Tây Nam,Đông Nam,,"5,4 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"tầng 18 Chung cư Bình Vượng Tower tọa lạc tại số 200 Quang Trung,, Phường Quang Trung, Quận Hà Đông, Hà Nội",Đã bàn giao,,"36,91 triệu/m²",3 phòng,,,3 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,4 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"56,88 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"6,2 tỷ"
"Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Đã bàn giao,,"70,90 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,75 tỷ"
"Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"49,88 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,99 tỷ"
"Phố Nguyễn Đức Cảnh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"69,33 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,2 tỷ"
"250, Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"66,25 triệu/m²",2 phòng,,6,2 phòng,Chung cư,,,,,,,"5,3 tỷ"
"1, KĐT Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",Đã bàn giao,,50 triệu/m²,3 phòng,CT5C,,2 phòng,Chung cư,,,,,,,"8,3 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"46,38 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,18 tỷ"
"Toà 1A Vinaconex 7, 136 Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"56,75 triệu/m²",4 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"7,9 tỷ"
"4, Phố Chính Kinh, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,60 triệu/m²,3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,6 tỷ
"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,,"39,29 triệu/m²",2 phòng,,,1 phòng,"Tập thể, cư xá",Hợp đồng mua bán,,,,,,"1,1 tỷ"
"250, 250 Số 250 Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"55,87 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,19 tỷ"
"Phố Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,63.974 đ/m²,2 phòng,,,,Chung cư,Sổ hồng riêng,,Hoàn thiện cơ bản,,,,"4,99 triệu"
"Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,37 triệu/m²,2 phòng,,15,2 phòng,,,,,Đông Nam,,,"2,59 tỷ"
"30, Phạm Văn Đồng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"74,60 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,7 tỷ"
"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"47,16 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,15 tỷ"
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"63,95 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,5 tỷ"
"Phố Lê Gia Đỉnh, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"41,23 triệu/m²",2 phòng,,3,,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,68 tỷ"
"Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"98,78 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"8,1 tỷ"
"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"58,89 triệu/m²",2 phòng,,1,,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,65 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"34,44 triệu/m²",1 phòng,,,1 phòng,Chung cư,Hợp đồng mua bán,,,,,,"1,55 tỷ"
"N2F, Đường Lê Văn Lương, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"68,73 triệu/m²",2 phòng,,,1 phòng,,,,,Đông Nam,Đông Nam,,"3,78 tỷ"
"33, Phố Mạc Thái Tổ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"56,37 triệu/m²",3 phòng,,17,2 phòng,Chung cư,,,,,,,"5,75 tỷ"
"Trần Đăng Ninh , Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"52,14 triệu/m²",2 phòng,,,2 phòng,,,,,Tây Bắc,Đông Nam,,"3,65 tỷ"
"Ngõ 885 Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"54,88 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,5 tỷ"
"Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"64,42 triệu/m²",1 phòng,,,1 phòng,Chung cư,,,,,Đông Nam,,"2,77 tỷ"
"Đường Phan Trọng Tuệ, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",Đã bàn giao,68 m²,"38,97 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"2,65 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"43,75 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,5 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"42,83 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,57 tỷ"
"5, Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"44,29 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,1 tỷ"
"187, Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội",Đã bàn giao,,"77,69 triệu/m²",2 phòng,17,7,,,,,,Tây Bắc,,,"5,05 tỷ"
"Phố Tố Hữu, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"39,85 triệu/m²",3 phòng,,,3 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,3 tỷ"
"Đường Lê Quang Đạo, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"103,41 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"9,1 tỷ"
"Số 440, Số 440 Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"60,33 triệu/m²",2 phòng,,,2 phòng,,,,,Đông Bắc,Tây Nam,,"5,49 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"46,38 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,18 tỷ"
"Phố Thái Thịnh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Chưa bàn giao,,"119,20 triệu/m²",2 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,98 tỷ"
"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,45 m²,"184,44 triệu/m²",9 phòng,,,,"Căn hộ dịch vụ, mini",Đang chờ sổ,,,,,,"8,3 tỷ"
"Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,25 m²,"76,40 triệu/m²",1 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"1,91 tỷ"
"Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"16,36 triệu/m²",2 phòng,,,1 phòng,,,,,Đông Nam,Đông Nam,,900 triệu
"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Đã bàn giao,,"16,36 triệu/m²",2 phòng,,,2 phòng,,,,,Đông Nam,Đông Nam,,900 triệu
"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"16,36 triệu/m²",2 phòng,,,2 phòng,,,,,Tây Nam,Đông Nam,,900 triệu
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Phố Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,70 m²,"51,43 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"3,6 tỷ"
"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"16,36 triệu/m²",2 phòng,,,2 phòng,,,,,Đông Nam,Đông Nam,,900 triệu
